Isolate name,Standardized name,Isolation,Ecological origins,Geographical origins,HO deletion,Plasmid class,Plasmid CN,Ploidy,Aneuploidies,Zygosity,Total number of SNPs,Proportion of clean heterozygous SNPs (whole dataset),Number of singletons,Mean coverage,Clades
YJM980,SACE_YBF,Unknown,"Human, clinical",Italy,no,A,49,2,euploid,homozygous,"42,873",0,0,41,Wine/European 
YJM984,BMH,Vagina,"Human, clinical",Italy,no,A,17,2,euploid,homozygous,"42,736",0,3,196,Wine/European 
IL_01_b,ADD,Soil,Soil,"Illinois, USA",yes,A,19,1,euploid,homozygous,"43,038",0,2,225,Wine/European 
YJM978,SACE_YBB,Vagina,"Human, clinical",Italy,no,A,51,2,euploid,homozygous,"43,345",0,0,64,Wine/European 
YJM993,SACE_YBG,Unknown,"Human, clinical",Italy,no,A,40,2,euploid,homozygous,"43,516",0,7,122,Wine/European 
YJM996,SACE_YBH,Unknown,"Human, clinical",Italy,no,A,47,2,euploid,homozygous,"41,198",0,7,24,Wine/European 
CECT10351-1B,CDS,Tomato,Fruit,Spain,no,A,77,2,euploid,homozygous,"43,285",0,501,287,Wine/European 
DBVPG1122,BIM,Grape must,Wine,"Lucera, Puglia, Italy",no,A,21,2,euploid,homozygous,"42,623",0,12,253,Wine/European 
DBVPG1123,BIN,Grape must,Wine,"Manduria, Taranto, Italy",no,A,16,2,euploid,homozygous,"42,548",0,4,213,Wine/European 
DBVPG1163,BKA,Cherries,Fruit,"Aurum, Sicily, Italy",no,A,7,2,euploid,homozygous,"42,612",0,8,228,Wine/European 
DBVPG4317,BQQ,Fermenting refrigerated Grape must (5C ca),Wine,"Bettona, Perugia, Italy ",no,A,8,2,euploid,homozygous,"42,420",0,672,172,Wine/European 
T73_1b,ADS,Monastrel grape fermentation (red wine),Wine,"Alicante, Spain",no,A,36,2,euploid,homozygous,"43,029",0,493,210,Wine/European 
DBVPG1711,BNM,Grape must,Wine,"Ygai, Rioja, Spain",no,A,46,2,euploid,homozygous,"43,359",0,682,215,Wine/European 
DBVPG1339_1b,ACR,Grapes,Wine,Netherlands,yes,A,26,1,euploid,homozygous,"43,596",0,2,273,Wine/European 
DBVPG1105,BIH,Grapes,Wine,"Adelaide, Australia",no,A,23,2,euploid,heterozygous,"46,066",10.9,9,285,Wine/European 
DBVPG1339,BKC,Grape must,Wine,Netherlands,no,A,24,2,euploid,heterozygous,"46,163",10.9,4,274,Wine/European 
DBVPG1975,BLS,Wine,Wine,Greece,no,A,7,2,euploid,heterozygous,"45,909",8.8,16,403,Wine/European 
DBVPG1374,BKD,Soil,Soil,Netherlands,no,A,34,2,euploid,heterozygous,"46,921",15,59,318,Wine/European 
DBVPG1714,BNP,Grape must,Wine,"Fuen Mayor, Rioja, Spain",no,A,31,2,euploid,heterozygous,"46,120",14.7,63,175,Wine/European 
DBVPG1580,BKN,Grape must,Wine,"Sardinia, Italy",no,A,80,2,euploid,homozygous,"43,070",0,3,222,Wine/European 
DBVPG1719,BNQ,Grape must,Wine,"San Adrian, Rioja, Spain",no,A,138,2,euploid,homozygous,"43,217",0,9,238,Wine/European 
DBVPG3051,CBH,Grape must,Wine,Israel,no,A,39,2,euploid,heterozygous,"43,130",7.5,867,95,Wine/European 
DBVPG1523,BKH,Grape must,Wine,"Trentino, Italy",no,A,39,2,euploid,homozygous,"43,805",0,711,248,Wine/European 
DBVPG1880,BPM,Grape must treated with pesticides,Wine,Italy,no,none,0,2,euploid,heterozygous,"44,735",7.4,875,254,Wine/European 
DBVPG1581,BKP,Grape must,Wine,"Marassinai, Sardinia, Italy",no,A,31,2,aneu;+1*8;,heterozygous,"45,859",12.1,658,175,Wine/European 
RB3-7Sc2,CRA,Wine,Wine,Italy,no,A,43,2,aneu;-1*1;,heterozygous,"45,518",10.7,727,195,Wine/European 
SC2-37,CRB,Wine,Wine,Italy,no,A,10,2,euploid,homozygous,"42,670",0,575,182,Wine/European 
Lib61,CHC,Fermenting grape must (red wine),Wine,Lebanon,no,A,18,2,euploid,heterozygous,"44,705",7.6,664,301,Wine/European 
Ca6,CGS,Fermenting grape must (sweet wine),Wine,Lebanon,no,A,10,2,euploid,homozygous,"44,096",0,420,235,Wine/European 
Lib54,CHB,Fermenting grape must (white wine),Wine,Lebanon,no,A,54,2,euploid,heterozygous,"46,366",8.9,"1,109",246,Wine/European 
Lib70,CHD,Fermenting grape must (white wine),Wine,Lebanon,no,A,17,2,euploid,heterozygous,"47,284",19,758,214,Wine/European 
Lib51,CGV,Fermenting grape must (sweet wine),Wine,Lebanon,no,A,34,2,euploid,heterozygous,"45,222",8.5,"1,198",187,Wine/European 
Lib52,CHA,Fermenting grape must (sweet wine),Wine,Lebanon,no,A,16,2,euploid,homozygous,"43,971",0,645,249,Wine/European 
Lib71,CHE,Fermenting grape must (rose wine),Wine,Lebanon,no,A,12,2,euploid,heterozygous,"45,918",12.8,490,202,Wine/European 
CBS6914,AHI,White wine,Wine,Spain,yes,A,18,1,aneu;+1*14;,homozygous,"43,398",0,496,244,Wine/European 
DBVPG1577,BKM,Grape must,Wine,"Elmas, Sardinia, Italy",no,none,0,2,euploid,heterozygous,"46,164",11.2,712,241,Wine/European 
DBVPG1076,BIF,Grape must,Wine,"Locorotondo, Puglia, Italy",no,A,15,2,euploid,homozygous,"42,848",0,263,240,Wine/European 
DBVPG1490,BKG,Grape must,Wine,"Etna, Sicily, Italy",no,A,13,2,euploid,heterozygous,"45,411",7.1,620,281,Wine/European 
DBVPG1473,BKF,Wine,Wine,"Piemonte, Italy",no,A,28,2,euploid,heterozygous,"46,157",13.5,45,228,Wine/European 
DBVPG1632,BLL,Grape must,Wine,"Abertura, La Mancha, Spain",no,A,39,2,euploid,heterozygous,"46,251",13.2,22,293,Wine/European 
CBS2087,ARL,Lychee flower,Flower,China,no,A,3,2,aneu;+1*1;,heterozygous,"45,013",8.4,128,233,Wine/European 
perentol,CKI,S. boulardii isolates (from Perenterol capsule),"Human, clinical","Brussels, Belgium",no,A,216,2,euploid,heterozygous,"43,960",5.4,3,195,Wine/European 
malade 98 3161,CKL,"Feces, therapy","Human, clinical","Amiens, France",no,A,153,2,euploid,heterozygous,"43,960",5.3,6,218,Wine/European 
ultra lev. 1127,CKH,S. boulardii isolates (from UltraLevure packet),Industrial,"Paris, France",no,A,159,2,euploid,heterozygous,"43,893",5.4,1,186,Wine/European 
malade 97 138633/11-2-5,CKD,Feces (therapy isolate),"Human, clinical","Paris, France, H2",no,A,258,2,euploid,heterozygous,"43,772",5.4,4,174,Wine/European 
malade 141076/11210,CKE,Feces (therapy isolate),"Human, clinical","Paris, France, H2",no,A,148,2,euploid,heterozygous,"44,078",5.2,11,205,Wine/European 
malade Elbaz 6766,CIS,Therapy isolates (Blood),"Human, clinical","Paris, France, H6",no,A,94,2,euploid,heterozygous,"44,017",5.2,3,200,Wine/European 
2698,BMN,Faringe,"Human, clinical","Vall d'Hebron hospital, Barcelona, Spain",no,A,21,2,euploid,heterozygous,"44,219",5.3,4,256,Wine/European 
malade 459 Labaume,CIT,Blood (therapy isolate),"Human, clinical","Paris, France, H1",no,A,103,2,euploid,heterozygous,"43,967",5,6,186,Wine/European 
malade Broussais,CKP,Unknown,"Human, clinical","Paris, France",no,A,172,2,euploid,heterozygous,"43,849",4.8,5,203,Wine/European 
malade M2402A Necker ,CKQ,Feces (therapy isolate),"Human, clinical",France,no,A,116,2,euploid,heterozygous,"43,960",5,1,192,Wine/European 
malade 98 1655/125391,CKB,Blood (therapy isolate),"Human, clinical","Paris, France, H3",no,A,171,2,euploid,heterozygous,"43,846",5.3,1,164,Wine/European 
malade 139287/11_2_1,CKC,Blood (therapy isolate),"Human, clinical","Paris, France, H2",no,A,203,2,euploid,heterozygous,"43,879",5.3,3,163,Wine/European 
malade 6452,CIQ,Blood (therapy isolate),"Human, clinical","Paris, France, H6",no,A,37,2,aneu;-1*3;,heterozygous,"43,652",4.3,8,177,Wine/European 
malade Hc6553,CIM,Blood (therapy isolate),"Human, clinical","Paris, France, H6",no,A,103,2,aneu;+2*9;,heterozygous,"43,839",5.1,3,169,Wine/European 
malade Pac6436,CIN,Blood (therapy isolate),"Human, clinical","Paris, France, H6",no,A,91,2,euploid,heterozygous,"43,925",5.2,0,176,Wine/European 
malade 6441,CIR,Blood (therapy isolate),"Human, clinical","Paris, France, H6",no,A,89,2,euploid,heterozygous,"43,849",4.9,2,179,Wine/European 
malade 150865/1122,CKF,Feces (therapy isolate),"Human, clinical","Paris, France, H2",no,A,237,2,euploid,heterozygous,"43,706",4.8,8,163,Wine/European 
UL G84F88I90,CKG,S. boulardii isolates lychee (reference strain Biocodex),Fruit,Vietnam,no,A,86,2,euploid,heterozygous,"44,013",5.5,3,202,Wine/European 
malade 98 2574,CKM,"Feces, therapy","Human, clinical","Amiens, France",no,A,193,2,euploid,heterozygous,"44,031",5.3,6,197,Wine/European 
malade 6442,CIP,Catheter (therapy isolate),"Human, clinical","Paris, France, H6",no,A,147,2,aneu;-1*3;+1*7;+1*11;+1*16;,heterozygous,"43,729",4.7,3,179,Wine/European 
2644,BCA,Human feces,"Human, clinical","Hospital Vall d'Hebron, Barcelona, Spain",no,A,284,2,euploid,heterozygous,"44,014",5.4,5,183,Wine/European 
SJ5L18,AMT,Probiotic,Probiotic,Austria,no,A,43,2,euploid,heterozygous,"44,094",4.9,6,251,Wine/European 
malade 1124/150017,CIV,Feces (therapy isolate),"Human, clinical","Paris, France, H2",no,A,49,2,euploid,heterozygous,"43,787",4.8,4,229,Wine/European 
malade Fauot,CKT,Unknown,"Human, clinical",France,no,A,98,2,euploid,heterozygous,"44,164",5.4,5,222,Wine/European 
DBVPG1108,BIL,Grapes,Wine,Australia,no,A,20,2,euploid,homozygous,"42,550",0,620,174,Wine/European 
DBVPG3591_1b,ABS,Cocoa beans,Nature,NA,yes,A,15,1,euploid,homozygous,"42,657",0,640,297,Wine/European 
DBVPG1125,BIP,Grape must,Wine,"Torre dei Passeri, Italy",no,none,0,2,aneu;+1*8;,homozygous,"43,035",0,4,252,Wine/European 
DBVPG1126,BIQ,Grape must,Wine,"Aquila, Italy",no,none,0,1,aneu;+1*3;,homozygous,"43,045",0,6,267,Wine/European 
DBVPG1699,BNI,Grape must,Wine,"De Casa la Reina, Rioja, Spain",no,A,82,2,euploid,homozygous,"43,076",0,561,270,Wine/European 
DBVPG3022,BLV,Grape must,Wine,"Squinzano, Italy",no,A,20,2,euploid,homozygous,"43,000",0,9,235,Wine/European 
DBVPG3098,BQG,Grape must,Wine,"Calabria, Italy",no,A,17,2,euploid,homozygous,"43,002",0,5,279,Wine/European 
FIMA_3,CRD,Wine,Wine,Italy,no,A,8,2,euploid,homozygous,"42,581",0,398,137,Wine/European 
AGME_5I,CRI,Wine,Wine,Italy,no,A,14,2,aneu;+1*4;+1*8;+1*15;,homozygous,"43,507",0,435,293,Wine/European 
SA6-31,BVM,Spontaneous grape fermentation,Wine,"Toscana, Italy",no,A,4,2,euploid,homozygous,"43,129",0,2,241,Wine/European 
CD7-9Sv2,CQV,Wine,Wine,Italy,no,A,5,2,euploid,homozygous,"42,973",0,0,204,Wine/European 
E1-6,CRK,Wine ,Wine,Italy,no,A,5,2,euploid,homozygous,"43,119",0,6,241,Wine/European 
DBVPG1615,BLF,Grape must,Wine,"La Mancha, Spain",no,A,43,2,euploid,heterozygous,"45,555",10.4,67,235,Wine/European 
DBVPG1617-5A,CEA,Soil,Soil,Spain,yes,A,42,1,euploid,homozygous,"43,167",0,3,267,Wine/European 
DBVPG1619-4B,CEB,Soil,Soil,Spain,yes,A,34,1,euploid,homozygous,"43,074",0,16,239,Wine/European 
DBVPG1772,BNT,Soil,Soil,"Kuopio, Finland",no,none,0,2,euploid,homozygous,"42,917",0,703,213,Wine/European 
DBVPG1608,BLD,Grape must,Wine,"La Mancha, Spain",no,A,48,2,euploid,homozygous,"43,024",0,445,270,Wine/European 
DBVPG1594,BKR,Grape must,Wine,"Los Cerros, La Mancha, Spain ",no,A,27,2,euploid,homozygous,"43,106",0,27,261,Wine/European 
DBVPG1620-1A,CEC,Soil,Soil,Spain,no,A,58,2,euploid,homozygous,"43,041",0,24,270,Wine/European 
DBVPG1685,BNH,Grape must,Wine,"Haro, Rioja, Spain",no,A,62,2,euploid,homozygous,"42,926",0,257,191,Wine/European 
DBVPG1606,BLC,Grape must,Wine,"Villarta de San Juan, La Mancha, Spain",no,A,111,2,euploid,heterozygous,"44,118",4.2,146,309,Wine/European 
DBVPG1622-8B,CEE,Soil,Soil,Spain,no,A,157,2,euploid,homozygous,"42,823",0,54,243,Wine/European 
DBVPG1712,BNN,Grape must,Wine,"Pedrejon, Rioja, Spain",no,A,4,2,euploid,homozygous,"43,088",0,451,297,Wine/European 
DBVPG1621-5A,CED,Soil,Soil,Spain,no,A,54,2,euploid,homozygous,"43,285",0,12,270,Wine/European 
DBVPG1595,BKS,Grape must,Wine,"La Mancha, Spain",no,A,20,2,euploid,heterozygous,"45,291",9.6,11,239,Wine/European 
DBVPG1661,BLP,Grape must,Wine,"Los Polos, La Mancha, Spain",no,A,41,2,euploid,heterozygous,"45,275",8.4,19,303,Wine/European 
DBVPG1659,BLN,Grape must,Wine,"Campo de Santiago, La Mancha, Spain",no,A,13,2,euploid,heterozygous,"45,666",10.2,5,267,Wine/European 
DBVPG1616-1D,CDV,Soil,Soil,Spain,no,A,71,2,euploid,homozygous,"42,948",0,8,275,Wine/European 
DBVPG1623-2A,CEF,Soil,Soil,Spain,no,A,90,2,euploid,homozygous,"42,951",0,2,250,Wine/European 
L-1191,ANQ,Wine,Wine,"Valle de Ica, Peru",no,A,15,2,euploid,homozygous,"42,592",0,468,192,Wine/European 
L-1194,AVK,Wine,Wine,"Valle de Ica, Peru",no,A,10,2,euploid,homozygous,"43,340",0,481,242,Wine/European 
DBVPG1107,BIK,Grapes,Wine,"McLaren Valley, Australia",no,A,57,2,euploid,homozygous,"42,526",0,229,172,Wine/European 
NCYC_2743,CLH,Unknown,Wine,Spain,no,A,11,2,aneu;+1*2;+1*13;+1*15;,homozygous,"42,805",0,302,240,Wine/European 
CBS5635,AHN,Grape must,Wine,South Africa,yes,A,137,1,euploid,homozygous,"42,374",0,1,209,Wine/European 
DBVPG6295,BSG,Grape must,Wine,South Africa,no,A,68,2,euploid,homozygous,"42,584",0,5,246,Wine/European 
YJM1341,SACE_YCA,Unknown,Wine,South Africa,no,A,84,2,euploid,homozygous,"42,110",0,5,66,Wine/European 
UC8_1b,ACT,Wine,Wine,South Africa,yes,A,11,1,aneu;+1*1;,homozygous,"43,038",0,2,243,Wine/European 
WE372_1b,ACV,Wine,Wine,South Africa,yes,A,17,1,aneu;+1*1;,homozygous,"43,066",0,3,256,Wine/European 
CLQCA_02-003,AKP,Heart of palm processing equipment,Industrial,"Santo Domingo, Ecuador",no,A,14,2,euploid,homozygous,"42,751",0,0,208,Wine/European 
CLQCA_10-027,AKV,Grass,Nature,"Pichincha, Ecuador",no,A,12,2,euploid,homozygous,"42,950",0,2,246,Wine/European 
CLQCA_17-060,ALE,Hemipteran insect,Insect,"Loja, Ecuador",no,A,14,2,euploid,homozygous,"42,972",0,1,248,Wine/European 
DBVPG4297,BQP,Prosecco wine,Wine,"Treviso, Italy ",no,B,16,2,euploid,homozygous,"43,470",0,372,231,Wine/European 
DBVPG4686,BRB,Winery,Wine,"Deruta, Perugia, Italy",no,A,6,2,euploid,heterozygous,"46,987",14.4,605,222,Wine/European 
DBVPG1145,BIT,Grape must,Wine,"Corvo, Sicily, Italy",no,none,0,2,euploid,homozygous,"43,613",0,577,275,Wine/European 
CBS5112,AQB,Grape must,Wine,Spain,no,A,70,2,euploid,homozygous,"42,937",0,6,265,Wine/European 
DBVPG6223,BRH,Grape must,Wine,Spain,no,A,51,2,euploid,homozygous,"43,575",0,13,321,Wine/European 
CECT10109_1b,ABP,Prickly pear,Fruit,Spain,yes,A,95,1,euploid,homozygous,"44,496",0,"1,325",215,Wine/European 
DBVPG1127,BIR,Grape must,Wine,"Popoli, Italy",no,A,25,2,euploid,heterozygous,"48,291",18.6,"1,703",290,Wine/European 
1235,CPF,Unknown,Unknown,"Guimar, Tenerife, Spain",no,A,7,2,aneu;+1*2;+1*4;+1*8;+1*9;+1*13;+1*15;,heterozygous,"46,549",12.7,"1,593",316,Wine/European 
DBVPG1085,BNG,Grape must,Wine,"Corato, Italy",no,A,58,3,euploid,heterozygous,"54,418",29.9,800,244,Wine/European 
E4,AIM,,Wine,"Umbria, Italy",no,A,24,2,euploid,heterozygous,"50,929",23.2,166,217,Wine/European 
ho_SB,CFB,Wine,Wine,Bordeaux ,no,A,94,2,aneu;+2*9;,homozygous,"45,420",0,5,260,Wine/European 
Lib73,CHF,Fermenting grape must (red wine),Wine,Lebanon,no,A,40,2,euploid,heterozygous,"53,225",32.4,932,210,Wine/European 
CLIB889,BHB,Bakery,Bakery,Australia,no,A,367,2,euploid,heterozygous,"50,401",22.6,17,203,Wine/European 
CBS4093a,AAK,Film on white wine,Wine,Spain,yes,A,3,1,euploid,homozygous,"46,926",0,303,267,Wine/European 
CBS5835,AHP,Wine,Wine,Spain,no,A,42,2,euploid,heterozygous,"48,250",6.2,318,265,Wine/European 
CBS6007,AET,Wine,Wine,Spain,yes,none,0,1,euploid,homozygous,"46,468",0,245,185,Wine/European 
CBS4079,AEK,Film on white wine,Wine,Spain,yes,A,4,1,euploid,homozygous,"46,527",0,133,303,Wine/European 
CBS6006,AQE,Wine,Wine,Spain,no,A,68,2,euploid,heterozygous,"47,932",5.4,246,218,Wine/European 
CBS462,AQP,Grape must,Wine,Spain,no,none,0,2,aneu;+1*1;+1*9;,heterozygous,"48,007",4.6,350,219,Wine/European 
CBS4092,ASA,Film on white wine,Wine,Spain,no,A,188,3,aneu;+1*9;,heterozygous,"49,347",10.7,474,172,Wine/European 
DBVPG1878,BPL,Grape must,Wine,"Piave, Italy",no,A,8,2,euploid,heterozygous,"48,779",8.2,390,258,Wine/European 
MC6,AIP,Grape,Wine,"Umbria, Italy",no,A,32,2,aneu;+1*9;,heterozygous,"49,569",10.3,85,233,Wine/European 
08-Mar,CAN,Wine conserved in amphora,Wine,Georgia,no,A,111,2,aneu;+1*9;,heterozygous,"49,331",10.2,26,188,Wine/European 
11-Aug,CAB,Wine conserved in amphora,Wine,Georgia,no,A,22,2,euploid,heterozygous,"49,090",9.4,71,265,Wine/European 
11-Feb,CAP,Wine conserved in amphora,Wine,Georgia,no,A,42,2,euploid,heterozygous,"48,490",6.2,11,272,Wine/European 
CBS5155,AQC,Fermenting Grape must,Wine,South Armenia,no,A,94,2,euploid,heterozygous,"47,571",4.6,"1,303",181,Wine/European 
CBS2247,AHK,Grape must,Wine,South Africa,yes,A,20,1,euploid,homozygous,"46,341",0,190,211,Wine/European 
CBS4054,AES,Red wine,Wine,Spain,yes,A,6,1,aneu;+1*2;,homozygous,"46,056",0,133,184,Wine/European 
CBS2183,AFI,Wine,Wine,Chateau Chalon France,yes,A,2,1,euploid,homozygous,"46,921",0,165,407,Wine/European 
DBVPG1919,BPR,Caverns,Nature,Italy,no,A,28,3,euploid,heterozygous,"49,913",12.8,"1,022",219,Wine/European 
CBS2180,AIA,Turbid Italian wine,Wine,Italy,yes,A,38,1,euploid,homozygous,"46,115",0,113,175,Wine/European 
B-24,BVT,Wine conserved in amphora,Wine,Georgia,no,A,35,2,euploid,heterozygous,"48,086",7.6,38,203,Wine/European 
May-18,CAA,Wine conserved in amphora,Wine,Georgia,no,A,38,2,euploid,heterozygous,"48,248",6.4,22,260,Wine/European 
A-12,CAC,Wine conserved in amphora,Wine,Georgia,no,A,88,2,euploid,heterozygous,"48,485",7.8,0,236,Wine/European 
Aug-15,BVV,Wine conserved in amphora,Wine,Georgia,no,A,137,2,euploid,heterozygous,"48,435",7.9,4,226,Wine/European 
Nov-18,CAD,Wine conserved in amphora,Wine,Georgia,no,A,27,2,euploid,heterozygous,"48,531",8,2,269,Wine/European 
09-Jul,CAM,Wine conserved in amphora,Wine,Georgia,no,none,0,2,euploid,heterozygous,"48,564",8.3,18,179,Wine/European 
05-Feb,CAQ,Wine conserved in amphora,Wine,Georgia,no,none,0,2,euploid,heterozygous,"48,986",8.6,22,228,Wine/European 
01-Sep,CBB,Wine conserved in amphora,Wine,Georgia,no,A,76,2,euploid,heterozygous,"48,823",9.2,8,226,Wine/European 
D-21,CBE,Wine conserved in amphora,Wine,Georgia,no,A,115,2,euploid,heterozygous,"48,703",9.3,10,191,Wine/European 
CBS2806a,AAE,Wine,Wine,Slovakia,yes,A,24,1,euploid,homozygous,"46,244",0,119,228,Wine/European 
CBS2805,AIB,Wine,Wine,Slovakia,yes,A,3,1,euploid,homozygous,"46,167",0,267,233,Wine/European 
B-17,CAS,Wine conserved in amphora,Wine,Georgia,no,A,159,2,euploid,homozygous,"43,091",0,2,70,Wine/European 
A-9,CAR,Wine conserved in amphora,Wine,Georgia,no,A,124,2,euploid,homozygous,"46,284",0,0,195,Wine/European 
C-12,CAT,Wine conserved in amphora,Wine,Georgia,no,A,134,2,euploid,homozygous,"46,325",0,0,197,Wine/European 
D-18,CBC,Wine conserved in amphora,Wine,Georgia,no,A,69,2,euploid,homozygous,"45,980",0,4,165,Wine/European 
B-13,CAV,Wine conserved in amphora,Wine,Georgia,no,A,53,2,aneu;+1*3;,homozygous,"46,179",0,4,206,Wine/European 
B-11,CBD,Wine conserved in amphora,Wine,Georgia,no,A,75,2,euploid,homozygous,"46,037",0,6,179,Wine/European 
CBS2814,AFV,Wine,Wine,Slovakia,no,A,31,2,aneu;-1*5;,homozygous,"46,080",0,13,224,Wine/European 
CBS2808,ART,Wine,Wine,Slovakia,no,A,134,2,euploid,heterozygous,"48,185",8.5,113,191,Wine/European 
CBS2807,AIC,Wine,Wine,Slovakia,yes,none,0,1,euploid,homozygous,"46,159",0,39,202,Wine/European 
YJM270,SACE_YAF,Unknown,Wine,Slovenia,no,none,0,2,euploid,homozygous,"46,607",0,35,84,Wine/European 
L-958,BSR,Wine,Wine,"Mendoza area, Argentina",no,A,11,2,euploid,heterozygous,"54,243",34.6,8,151,Wine/European 
L-960,BSS,Wine,Wine,"Mendoza area, Argentina",no,A,17,2,euploid,heterozygous,"54,975",35.3,12,188,Wine/European 
L-1201,BTR,"Heterozygote, 12% Sporulation Efficiency",Wine,"Valle de Ica, Peru",no,A,10,2,euploid,heterozygous,"53,926",33.6,4,148,Wine/European 
L-1198,BTP,"Heterozygote, 12% Sporulation Efficiency",Wine,"Valle de Ica, Peru",no,A,7,2,euploid,heterozygous,"53,951",31.5,6,221,Wine/European 
M1,ASR,Vineyard,Wine,Italy,no,A,61,2,euploid,heterozygous,"53,806",30.9,12,251,Wine/European 
YJM1574,SACE_YDJ,wine/European,Wine,NA,no,A,76,2,aneu;+1*1;+1*6;,homozygous,"46,850",0,9,302,Wine/European 
CECT10266,AVB,Tanning liquor,Industrial,Spain,no,A,17,1,euploid,homozygous,"47,764",0,714,198,Alpechin 
CECT10171-5B,CDT,Larvae of Dacus oleae,Insect,Spain,no,A,43,2,euploid,homozygous,"49,211",0,"1,170",229,Alpechin 
1560,CPG,"Manzanilla-Alorena, olive (Noe), 2003",Nature,"Aceituna, Spain",no,A,12,2,euploid,homozygous,"48,602",0,926,271,Alpechin 
CBS3093_1b,ABM,Alpechin (waste from olive oil production),Industrial,Spain,yes,A,31,1,euploid,homozygous,"47,755",0,259,198,Alpechin 
CBS3093,AHM,Alpechin (waste from olive oil production),Industrial,Spain,yes,A,75,1,euploid,homozygous,"47,369",0,169,206,Alpechin 
CBS4903,AQA,Alpechin (waste from olive oil production),Industrial,Spain,no,A,107,2,euploid,heterozygous,"49,143",6.2,"1,195",229,Alpechin 
CBS5378,AQD,Alpechin (waste from olive oil production),Industrial,Spain,no,A,64,2,aneu;+1*8;,heterozygous,"49,020",5.2,339,231,Alpechin 
CECT10497,ATQ,Alpechin (waste from olive oil production),Industrial,Spain,no,A,40,2,aneu;+2*9;+1*11;,homozygous,"48,938",0,505,249,Alpechin 
UCD_09-448,CGD,Olives from Middle of season 1. on RBCA 11.25.09 Streaked onto PDA 11/30/09,Fruit,"Davis, CA, UCD",no,B,65,2,euploid,homozygous,"48,515",0,505,190,Alpechin 
UCD_11-601,CGE,"Olive fermentation, 1-gallon, Bucket 5B brine, Sicilian style olives, inoculated with Saccharomyces cerevisiase from 2009 olives.",Fruit,"Davis, CA, UCD Food Science, Pilot plant. ",no,B,90,2,euploid,homozygous,"47,666",0,99,190,Alpechin 
CBS3081,AHL,Alpechin (waste from olive oil production),Industrial,Spain,yes,none,0,1,euploid,homozygous,"48,054",0,101,236,Alpechin 
DBVPG6302,BRK,Alpechin (waste from olive oil production),Industrial,Spain,no,none,0,2,euploid,homozygous,"48,294",0,228,220,Alpechin 
YJM1252,SACE_YBR,Alpechin (waste from olive oil production),Industrial,Spain,no,none,0,2,euploid,homozygous,"48,964",0,295,424,Alpechin 
CBS2909,AID,Human feces,Human,NA,no,A,46,2,euploid,heterozygous,"48,742",4.9,543,200,Alpechin 
CBS2910,AIE,Human feces,Human,Portugal,yes,A,22,1,aneu;+1*9;,homozygous,"47,729",0,141,203,Alpechin 
YJM248,SACE_YAE,Faeces,Human,NA,no,A,78,2,euploid,homozygous,"45,765",0,229,59,Alpechin 
YJM1078,SACE_YDM,Clinical,"Human, clinical",Portugal,no,A,44,2,euploid,homozygous,"47,648",0,786,48,Alpechin 
CBS439,AGN,Silvaner grapes,Wine,Germany,yes,none,0,1,euploid,homozygous,"43,915",0,446,190,M1
M6,AST,Vineyard,Wine,Italy,no,A,102,2,euploid,heterozygous,"50,184",23.4,367,177,M1
CLIB1060,BHE,"Cider brewery, half fermenting apple juice",Cider,"Brittany, France",no,B,99,2,aneu;+1*14;,heterozygous,"52,132",28.6,393,202,M1
CLIB1059,BHD,"Cider brewery, half fermenting apple juice",Cider,"Brittany, France",no,A,110,2,euploid,heterozygous,"53,019",34.1,465,177,M1
CLIB1085,BHM,"Cider brewery, dry cider",Cider,"Upper Normandy, France",no,A,22,2,euploid,heterozygous,"46,922",8.6,251,243,M1
CLIB1083,BHT,"Cider brewery, dry cider",Cider,"Upper Normandy, France",no,B,78,2,euploid,homozygous,"46,705",0,491,264,M1
M9,ASV,Vineyard,Wine,Italy,no,A,71,2,aneu;+1*9;,heterozygous,"53,155",41.8,503,181,M1
CBS1540,AHF,Tibi grains,Nature,Switzerland,yes,A,29,1,euploid,homozygous,"48,908",0,72,235,M1
SJ5L14,AMP,Fruiting body of Auricularia auricular,Fruit,"Taian, Miaoli, Taiwan",no,none,0,2,euploid,heterozygous,"54,334",19.9,132,183,M1
995,CPB,Fermented beverage from raisins and sugar,Beer,Hungary,no,A,17,2,aneu;+1*3;,heterozygous,"55,098",24.5,219,159,M1
I14_1b,ACS,Vineyard soil,Wine,Italy,yes,A,27,1,euploid,homozygous,"47,210",0,144,238,M1
YJM1387,SACE_YCI,Unknown,Wine,Japan,no,none,0,2,euploid,homozygous,"45,307",0,446,149,M1
CLIB1082,BHL,"Cider brewery, dry cider",Cider,"Upper Normandy, France",no,B,38,2,euploid,heterozygous,"56,010",38.1,683,238,M1
CLIB1077,BHK,"Cider brewery, dry cider",Cider,"Upper Normandy, France",no,A,17,2,euploid,heterozygous,"55,477",38,599,239,M1
CLIB413_1b,ACG,Fermenting rice beverage,Fermentation,China,yes,B,38,1,euploid,homozygous,"44,262",0,5,178,M1
CLIB483_1b,ACH,Cider,Cider,"Brittany, France",yes,B,47,1,euploid,homozygous,"44,503",0,4,204,M1
SRC 120,CHV,Cider bioindustrial strain ,Cider,France,no,B,84,2,aneu;+1*9;+1*11;+1*16;,homozygous,"44,251",0,104,267,M1
